Data set,num_m,num_n,perc_m,P t=0.05,R t=0.5,F1 t=0.5,F* t=0.5,P opt (t),R opt (t),F1 opt (t),F* opt (t),AUC-PR,CRL-0.05 (t_l/t_u),CRL-0.1 (t_l/t_u),CRL-0.2 (t_l/t_u),CRL-0.3 (t_l/t_u)
Perfect,1000,5000,16.667,1,1,1,1,1.000 (t=1.000),1.000 (t=1.000),1.000 (t=1.000),1.000 (t=1.000),1, 1.000 (t_l=0.000/t_u=1.000),1.000 (t_l=0.000/t_u=1.000),1.000 (t_l=0.000/t_u=1.000),1.000 (t_l=0.000/t_u=1.000)
Excellent,1000,5000,16.667,0.384,1,0.555,0.384,1.000 (t=1.000),1.000 (t=0.704),0.974 (t=0.899),0.950 (t=0.899),0.995, 0.034 (t_l=0.860/t_u=0.896),0.084 (t_l=0.813/t_u=0.905),0.188 (t_l=0.700/t_u=0.916),0.209 (t_l=0.673/t_u=0.926)
Good,1000,5000,16.667,0.337,1,0.504,0.337,1.000 (t=1.000),1.000 (t=0.702),0.919 (t=0.899),0.851 (t=0.899),0.972, 0.000 (t_l=0.798/t_u=0.798),0.000 (t_l=0.850/t_u=0.850),0.081 (t_l=0.806/t_u=0.906),0.116 (t_l=0.767/t_u=0.918)
Random,1000,5000,16.667,0.167,0.501,0.25,0.143,0.413 (t=0.964),1.000 (t=0.001),0.286 (t=0.020),0.167 (t=0.020),0.168, 0.000 (t_l=0.050/t_u=0.050),0.000 (t_l=0.101/t_u=0.101),0.000 (t_l=0.201/t_u=0.201),0.000 (t_l=0.300/t_u=0.300)
,,,,,,,,,,,,,,,,
random_forest_abt-buy,10950,54750,16.667,0.791,0.83,0.81,0.68,0.968 (t=0.981),1.000 (t=0.000),0.814 (t=0.592),0.687 (t=0.592),0.868, 0.000 (t_l=0.150/t_u=0.150),0.000 (t_l=0.300/t_u=0.300),0.041 (t_l=0.510/t_u=0.570),0.257 (t_l=0.350/t_u=0.733)
svm_linear_abt-buy,10950,54750,16.667,0.765,0.782,0.774,0.631,1.000 (t=1.000),1.000 (t=0.002),0.783 (t=0.601),0.644 (t=0.601),0.851, 0.000 (t_l=0.062/t_u=0.062),0.000 (t_l=0.158/t_u=0.158),0.000 (t_l=0.447/t_u=0.447),0.188 (t_l=0.395/t_u=0.692)
svm_rbf_abt-buy,10950,54750,16.667,0.767,0.786,0.777,0.635,1.000 (t=1.000),1.000 (t=0.002),0.784 (t=0.629),0.644 (t=0.629),0.853, 0.000 (t_l=0.068/t_u=0.068),0.000 (t_l=0.155/t_u=0.155),0.000 (t_l=0.455/t_u=0.455),0.214 (t_l=0.376/t_u=0.714)
Abt-buy-emt-n5,1744,8752,16.616,0.707,0.895,0.79,0.653,1.000 (t=1.000),1.000 (t=0.000),0.882 (t=0.544),0.789 (t=0.544),0.919, 0.000 (t_l=0.002/t_u=0.002),0.000 (t_l=0.198/t_u=0.198),0.133 (t_l=0.539/t_u=0.716),0.671 (t_l=0.054/t_u=0.986)
,,,,,,,,,,,,,,,,
random_forest_amazon-google,12980,64900,16.667,0.721,0.815,0.765,0.62,0.940 (t=0.993),1.000 (t=0.000),0.767 (t=0.501),0.621 (t=0.501),0.795, 0.000 (t_l=0.170/t_u=0.170),0.000 (t_l=0.320/t_u=0.320),0.000 (t_l=0.520/t_u=0.520),0.116 (t_l=0.460/t_u=0.650)
svm_linear_amazon-google,12980,64900,16.667,0.663,0.735,0.697,0.535,1.000 (t=1.000),1.000 (t=0.001),0.699 (t=0.531),0.537 (t=0.531),0.744, 0.000 (t_l=0.082/t_u=0.082),0.000 (t_l=0.179/t_u=0.179),0.000 (t_l=0.375/t_u=0.375),0.000 (t_l=0.554/t_u=0.554)
svm_rbf_amazon-google,12980,64900,16.667,0.669,0.739,0.702,0.541,1.000 (t=1.000),1.000 (t=0.006),0.703 (t=0.520),0.543 (t=0.520),0.755, 0.000 (t_l=0.081/t_u=0.081),0.000 (t_l=0.169/t_u=0.169),0.000 (t_l=0.377/t_u=0.377),0.001 (t_l=0.566/t_u=0.569)
